127.0.0.1 - - [26/Jun/2015:11:15:28 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [26/Jun/2015:11:15:30 -0500] "GET /litos/Bienvenido.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2015:11:15:30 -0500] "GET /litos/login.jsp HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [26/Jun/2015:11:16:46 -0500] "GET /litos/Bienvenido.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2015:11:16:46 -0500] "GET /litos/login.jsp HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [26/Jun/2015:11:23:28 -0500] "GET /litos/login.jsp HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [26/Jun/2015:11:23:28 -0500] "GET /litos/hamburguesa7.jpg HTTP/1.1" 200 234600
0:0:0:0:0:0:0:1 - - [26/Jun/2015:11:25:17 -0500] "GET /litos/login.jsp HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [26/Jun/2015:11:27:15 -0500] "GET /litos/login.jsp HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [26/Jun/2015:11:33:14 -0500] "GET /litos/login.jsp HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [26/Jun/2015:11:33:43 -0500] "GET /litos/login.jsp HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [26/Jun/2015:11:35:53 -0500] "GET /litos/Bienvenido.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2015:11:35:53 -0500] "GET /litos/login.jsp HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [26/Jun/2015:11:36:00 -0500] "POST /litos/Administrador HTTP/1.1" 404 999
